job_title,company_name,company_location,time,job_type,work_location,level,experince_years,job_skills,url
"System Administrator","Setec Egypte","Heliopolis, Cairo, Egypt","19 days ago","Full Time","On-site","Experienced","7 - 10 Yrs of Exp","IT/Software Development - CommunicationComputer Science - Information Technology (IT) - System Administration - System administrator - Networks - Engineering","https://wuzzuf.net/jobs/p/LlSqMqKVhGCU-System-Administrator-Setec-Egypte-Cairo-Egypt"
"Senior PHP Developer ( Team lead )","Obeikan Digital Solutions","Cairo, Egypt","17 days ago","Full Time","Hybrid","Experienced","5 - 7 Yrs of Exp","IT/Software Development - Engineering - Telecom/TechnologyComputer Science - Agile - Software Development - Angular - APIs - CSS - Engineering - HTML","https://wuzzuf.net/jobs/p/a9rmwzcKeXYb-Senior-PHP-Developer-Team-lead-Obeikan-Digital-Solutions-Cairo-Egypt"
"Senior Full Stack Developer","ZINAD IT","Smart Village, Giza, Egypt","13 days ago","Full Time","Hybrid","Experienced","3 - 6 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - AWS - AngularComputer Science - Development - Information Technology (IT) - MySQL - PHP - Software","https://wuzzuf.net/jobs/p/qAuw62evVL65-Senior-Full-Stack-Developer-ZINAD-IT-Giza-Egypt"
"Apple Mobile developer","Spirawn","Washington, D.C., United States","18 days ago","Full Time","Remote","Experienced","2 - 4 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - Spring Boot - Information Technology (IT) - Spring - Software DevelopmentComputer Science - Angular - React - mobile develpoer","https://wuzzuf.net/jobs/p/BQZTdlxjgdmC-Apple-Mobile-developer-Spirawn-Washington-D-C-United-States"
"Android Mobile developer","Spirawn","Washington, D.C., United States","18 days ago","Full Time","Remote","Experienced","2 - 4 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - Spring Boot - Information Technology (IT) - Spring - Software DevelopmentComputer Science - Angular - React - mobile develpoer","https://wuzzuf.net/jobs/p/A4SXuHo8UCL8-Android-Mobile-developer-Spirawn-Washington-D-C-United-States"
"Senior Node JS Developer","Obeikan Digital Solutions","Cairo, Egypt","17 days ago","Full Time","Hybrid","Experienced","5 - 6 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - Agile - Angular - APIsComputer Science - CSS - Engineering - HTML - Information Technology (IT)","https://wuzzuf.net/jobs/p/hYliDOHzOiUK-Senior-Node-JS-Developer-Obeikan-Digital-Solutions-Cairo-Egypt"
"Senior Infrastructure Officer","Confidential","Riyadh, Saudi Arabia","12 days ago","Full Time","On-site","Experienced","3 - 8 Yrs of Exp","Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/TechnologyComputer Science - Information Technology (IT) - IT - engineer - IT Systems - senior - Software Development","https://wuzzuf.net/jobs/p/dUTQ3LyusSei-Senior-Infrastructure-Officer-Riyadh-Saudi-Arabia"
"Senior Oracle Techno-Functional Consultant (SCM/MFG Discrete)","idaco","Giza, Giza, Egypt","18 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","Accounting/Finance - IT/Software Development - Engineering - Telecom/Technology - Oracle - SCM - Techno-Functional ConsultantComputer Science - Oracle E-Business Suite - Oracle e-Business - Information Technology (IT)","https://wuzzuf.net/jobs/p/bX6quRyE32cE-Senior-Oracle-Techno-Functional-Consultant-SCMMFG-Discrete-idaco-Giza-Egypt"
"Senior Database Developer","CÆLUM Middle East","Zamalek, Cairo, Egypt","21 days ago","Full Time","Hybrid","Experienced","4+ Yrs of Exp","IT/Software Development - Information Technology (IT) - Software Engineering - Software Development - Database - SQL - Power BI - ETLComputer Science","https://wuzzuf.net/jobs/p/F2RKjVdXX5lE-Senior-Database-Developer-CÆLUM-Middle-East-Cairo-Egypt"
"Server and storage Administrator","MTI","Shubra, Cairo, Egypt","20 days ago","Full Time","On-site","Experienced","3 - 6 Yrs of Exp","Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/Technology - Servers - Storage - System Administration - IT - Information Technology (IT) - LinuxComputer Science","https://wuzzuf.net/jobs/p/68LFZI6UPbUs-Server-and-storage-Administrator-MTI-Cairo-Egypt"
"Software Quality Control Engineer","Obeikan Digital Solutions","Cairo, Egypt","17 days ago","Full Time","On-site","Experienced","3 - 6 Yrs of Exp","IT/Software Development - Quality - Engineering - Telecom/Technology - AgileComputer Science - Engineering - quality - Quality Assurance - Quality ControlScience","https://wuzzuf.net/jobs/p/Bp7VmmNnGgEZ-Software-Quality-Control-Engineer-Obeikan-Digital-Solutions-Cairo-Egypt"
"Oracle APEX Engineer","Transformation Experts","Cairo, Egypt","21 days ago","Full Time / Freelance / Project","On-site","Experienced","4 - 15 Yrs of Exp","IT/Software DevelopmentComputer Science - Database - CSS - HTML - Information Technology (IT) - JavaScript - Oracle - PL - PL/SQL","https://wuzzuf.net/jobs/p/2E9R90J74J4R-Oracle-APEX-Engineer-Transformation-Experts-Cairo-Egypt"
"Network Administrator","Selah ElTelmeez For Publishing & printing","Obour City, Cairo, Egypt","16 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","IT/Software Development - Network AdministrationComputer Science","https://wuzzuf.net/jobs/p/Z8Xf9NFE8RXt-Network-Administrator-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt"
"IT Assistant","Tline","Maadi, Cairo, Egypt","17 days ago","Full Time","On-site","Experienced","1 - 4 Yrs of Exp","Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/Technology - Computer Engineering - Technical Support - Information Technology (IT) - IT - MCSA - CCNAComputer Science","https://wuzzuf.net/jobs/p/XQjAr2Jo6beL-IT-Assistant-Tline-Cairo-Egypt"
"Senior IT Infrastructure Engineer","Confidential","Maadi, Cairo, Egypt","19 days ago","Full Time","On-site","Experienced","2 - 4 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - computerComputer Science - Engineering - Information Technology (IT) - Infrastructure - Software Engineering - IT","https://wuzzuf.net/jobs/p/vUpvSetvrGte-Senior-IT-Infrastructure-Engineer-Cairo-Egypt"
"Senior Business analyst","Algoriza","6th of October, Giza, Egypt","19 days ago","Full Time","Remote","Experienced","5 - 7 Yrs of Exp","IT/Software Development - Analyst/Research - Business Development - Business Analysis - Analyst - business - ManagementComputer Science - Engineering - Finance","https://wuzzuf.net/jobs/p/xlzklb7wDVWC-Senior-Business-analyst-Algoriza-Giza-Egypt"
"Front End Developer","Roaya","Maadi, Cairo, Egypt","19 days ago","Full Time","On-site","Entry Level","1 - 3 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - Information Technology (IT)Computer Science - Computer Skills - HTML - Front-End - Angular - Software Development - jQuery","https://wuzzuf.net/jobs/p/RdB2CBhdU9lG-Front-End-Developer-Roaya-Cairo-Egypt"
"IT Service Desk Specialist","Erada","Maadi, Cairo, Egypt","17 days ago","Full Time","On-site","Experienced","2 - 4 Yrs of Exp","Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/Technology - CCNA - IT - Information Technology (IT) - Help desk - computerComputer Science","https://wuzzuf.net/jobs/p/ENd2ks99q0WX-IT-Service-Desk-Specialist-Erada-Cairo-Egypt"
"Technical Support Engineer","Mantrac","Mohandessin, Giza, Egypt","18 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","IT/Software Development - Engineering - Telecom/TechnologyComputer Science - Service Engineer","https://wuzzuf.net/jobs/p/gdb3dJBE0vSe-Technical-Support-Engineer-Mantrac-Giza-Egypt"
"Mobile Application Developer","Paymint","Cairo, Egypt","19 days ago","Full Time","Hybrid","Experienced","3 - 5 Yrs of Exp","Creative/Design/Art - IT/Software Development - Engineering - Telecom/Technology - APIs - AgileComputer Science - Information Technology (IT) - Software Development - Git - Mobile Development","https://wuzzuf.net/jobs/p/19sT4KrAHj50-Mobile-Application-Developer-Paymint-Cairo-Egypt"
"Junior IT Specialist & software developer","Jessour Misr","Abu Rawash, Giza, Egypt","18 days ago","Full Time","On-site","Experienced","0 - 2 Yrs of Exp","IT/Software Development - Engineering - Telecom/TechnologyComputer Science - Development - Python - Odoo ERP","https://wuzzuf.net/jobs/p/A5aBe6wCOpVk-Junior-IT-Specialist-software-developer-Jessour-Misr-Giza-Egypt"
"PHP Laravel full stack developer","Monglish Academy","Alexandria, Egypt","18 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","Creative/Design/Art - IT/Software Development - Engineering - Telecom/TechnologyComputer Science - front-end - Full Stack - Information Technology (IT) - Laravel - PHP - React","https://wuzzuf.net/jobs/p/qJYagRxkOo70-PHP-Laravel-full-stack-developer-Monglish-Academy-Alexandria-Egypt"
"Senior IOS Developer","Al Ahly Momkn for e-payment","Maadi, Cairo, Egypt","21 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","IT/Software Development - APIsComputer Science - Design - Information Technology (IT) - iOS - Mobile Development - Programming - REST - Software","https://wuzzuf.net/jobs/p/ySiwyhGkSNyh-Senior-IOS-Developer-Al-Ahly-Momkn-for-e-payment-Cairo-Egypt"
"Infrastructure Engineer / VMware","Efada Technology","6th of October, Giza, Egypt","21 days ago","Full Time","Hybrid","Experienced","3 - 7 Yrs of Exp","Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/TechnologyComputer Science - Information technology - Engineering - Technology - Servers - Telecom - Telecommunication","https://wuzzuf.net/jobs/p/HKfK0x5Oh9mL-Infrastructure-Engineer-VMware-Efada-Technology-Giza-Egypt"
"IT Service Desk","Elsewedy industries","Ataqah, Suez, Egypt","20 days ago","Full Time","On-site","Entry Level","1 - 4 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - computer - CCNA - Help desk - Information technology - Information Technology (IT) - Technology - MCSAComputer Science","https://wuzzuf.net/jobs/p/lXyViUOAdbpu-IT-Service-Desk-Elsewedy-industries-Suez-Egypt"
"Oracle Developer","National Paints","Obour City, Cairo, Egypt","19 days ago","Full Time","On-site","Experienced","1 - 6 Yrs of Exp","Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/Technology - computerComputer Science - Information Technology (IT) - ITIL - MIS - OCP - Oracle","https://wuzzuf.net/jobs/p/72tG3Mka2WQG-Oracle-Developer-National-Paints-Cairo-Egypt"
"Full Stack Developer","3S Software","Nasr City, Cairo, Egypt","20 days ago","Full Time","Hybrid","Experienced","2 - 4 Yrs of Exp","Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/Technology - MySQL - MVC - Information Technology (IT) - JavaScript - HTML5 - HTML - API","https://wuzzuf.net/jobs/p/L1mft6bJXOGn-Full-Stack-Developer-3S-Software-Cairo-Egypt"
"Software Technical Support / Application Support Engineer","eVision","New Cairo, Cairo, Egypt","18 days ago","Full Time","On-site","Entry Level","0 - 2 Yrs of Exp","IT/Software Development - Engineering - Telecom/TechnologyComputer Science - SQL - Oracle - Microsoft SQL - Networking - Application Security - Computer Engineering - Technical Support","https://wuzzuf.net/jobs/p/YSYj6PsYqcf7-Software-Technical-Support-Application-Support-Engineer-eVision-Cairo-Egypt"
"Software Quality Control Engineer","ATI Systems","Mohandessin, Giza, Egypt","17 days ago","Full Time","On-site","Entry Level","1 - 4 Yrs of Exp","IT/Software Development - Quality - Engineering - Telecom/Technology - Information Technology (IT)Computer Science - Computer Engineering - Software Development - Software Engineering - Software Testing - Testing","https://wuzzuf.net/jobs/p/u29sfcawRLKV-Software-Quality-Control-Engineer-ATI-Systems-Giza-Egypt"
"Java Developer","Egabi FSI","Sheraton, Cairo, Egypt","20 days ago","Full Time","On-site","Entry Level","1+ Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - Engineering - Git - Information Technology (IT) - Java - OOP - SoftwareComputer Science - Software Engineering","https://wuzzuf.net/jobs/p/gnjhfr98YMD1-Java-Developer-Egabi-FSI-Cairo-Egypt"
"Senior Full Stack Developer .Net + Angular","ICIS","New Cairo, Cairo, Egypt","21 days ago","Full Time","Hybrid","Experienced","5+ Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - EngineeringComputer Science - Information Technology (IT) - Oracle - SQL - Asp.Net - MVC - HTML5","https://wuzzuf.net/jobs/p/ZYTjDjXp0zFX-Senior-Full-Stack-Developer-Net-Angular-ICIS-Cairo-Egypt"
"Senior UI/UX designer","CÆLUM Middle East","Zamalek, Cairo, Egypt","21 days ago","Full Time","Hybrid","Experienced","5+ Yrs of Exp","IT/Software DevelopmentComputer Science - Design - Information Technology (IT) - UI/UX - UX Design - Software - photoshop - illustrator - UI Design","https://wuzzuf.net/jobs/p/H9QjRLlJwHIu-Senior-UIUX-designer-CÆLUM-Middle-East-Cairo-Egypt"
"Android Developer","Theqah","Maadi, Cairo, Egypt","24 days ago","Full Time","On-site","Experienced","2 - 10 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - Android - Android appComputer Science - Development - Mobile Development - Information Technology (IT) - REST - Mobile Landscape","https://wuzzuf.net/jobs/p/VqWVrYGNPM75-Android-Developer-Theqah-Cairo-Egypt"
"Odoo Implementer","Confidential","Sheikh Zayed, Giza, Egypt","20 days ago","Full Time","On-site","Experienced","3+ Yrs of Exp","Accounting/Finance - IT/Software Development - Engineering - Telecom/Technology - Odoo Implementer - Odoo - Information Technology (IT) - ERPComputer Science","https://wuzzuf.net/jobs/p/Obogp7Jksea0-Odoo-Implementer-Giza-Egypt"
"IT Specialist . Mansoura","Ibn Sina Pharma","Mansoura, Dakahlia, Egypt","20 days ago","Full Time","On-site","Experienced","1 - 2 Yrs of Exp","Hospitality/Hotels/Food Services - IT/Software Development - Engineering - Telecom/Technology - CCNAComputer Science - Information Technology (IT) - MCSA - MCITP","https://wuzzuf.net/jobs/p/YjWyt0OkP47e-IT-Specialist-Mansoura-Ibn-Sina-Pharma-Dakahlia-Egypt"
"Backend Developer (Laravel-php-FullTime-Remote)","Confidential","Cairo, Egypt","21 days ago","Full Time","Remote","Experienced","3+ Yrs of Exp","Creative/Design/Art - IT/Software Development - Engineering - Telecom/Technology - RESTful APIs - Information Technology (IT) - MySQL - PHP - Software Development - APIsComputer Science","https://wuzzuf.net/jobs/p/HJLYGPNmoqRs-Backend-Developer-Laravel-php-FullTime-Remote-Cairo-Egypt"
"ChatBot Developer","Efada Technology","6th of October, Giza, Egypt","21 days ago","Full Time","Hybrid","Entry Level","1 - 2 Yrs of Exp","IT/Software Development - Engineering - Telecom/TechnologyComputer Science - Information Technology (IT) - Software Development - chatbot - Microservices","https://wuzzuf.net/jobs/p/xNqCGoUWNJcm-ChatBot-Developer-Efada-Technology-Giza-Egypt"
"Senior Full Stack Web Developer - Remotely","IQRA Network","Cairo, Egypt","21 days ago","Full Time / Part Time","Remote","Experienced","4 - 6 Yrs of Exp","Creative/Design/Art - IT/Software Development - Engineering - Telecom/TechnologyComputer Science - Full Stack - HTML - Information Technology (IT) - Java - JavaScript - jQuery","https://wuzzuf.net/jobs/p/r9sa6EguYruI-Senior-Full-Stack-Web-Developer---Remotely-IQRA-Network-Cairo-Egypt"
"Senior Full Stack Developer","SURE International Technology","Nasr City, Cairo, Egypt","24 days ago","Full Time","On-site","Experienced","3 - 8 Yrs of Exp","IT/Software Development - Angular - .Net - Full Stack - MySQL - jQuery - JavaScript - HTMLComputer Science - Software Development","https://wuzzuf.net/jobs/p/GNQM9isMfDC7-Senior-Full-Stack-Developer-SURE-International-Technology-Cairo-Egypt"
"Dynamics 365 F&O Senior Technical Consultant.","Devexy","Heliopolis, Cairo, Egypt","24 days ago","Full Time","Remote","Experienced","5 - 7 Yrs of Exp","IT/Software Development - dynamics 360 - MS Dynamics AX - Information Technology (IT) - Dynamics 365Computer Science - Microsoft Dynamics","https://wuzzuf.net/jobs/p/8HX6knosNS90-Dynamics-365-FO-Senior-Technical-Consultant-Devexy-Cairo-Egypt"
"Senior Web Developer - Magento 2","Bnaia","Maadi, Cairo, Egypt","22 days ago","Full Time","On-site","Experienced","3+ Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - E-Commerce - PHP - MySQL - Agile - Information Technology (IT)Computer Science - Software - CSS","https://wuzzuf.net/jobs/p/X5UjqdL4l7M2-Senior-Web-Developer---Magento-2-Bnaia-Cairo-Egypt"
"Senior IT Specialist","United Group For Engineering And Investment","Nasr City, Cairo, Egypt","24 days ago","Full Time","On-site","Experienced","4 - 6 Yrs of Exp","Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/Technology - CCNA - Communication - Communication skillsComputer Science - Customer Service - Information Technology (IT) - Networking","https://wuzzuf.net/jobs/p/KQuDMhXjfIIO-Senior-IT-Specialist-United-Group-For-Engineering-And-Investment-Cairo-Egypt"
"Senior Full Stack Developer","Bevatel","Dokki, Giza, Egypt","25 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","IT/Software DevelopmentComputer Science - Full Stack - HTML - CSS - JavaScript - jQuery - MySQL - React - Software Development","https://wuzzuf.net/jobs/p/G4Uun8KDKj6v-Senior-Full-Stack-Developer-Bevatel-Giza-Egypt"
"Senior Full Stack Developer","3S Software","Nasr City, Cairo, Egypt","24 days ago","Full Time","Hybrid","Experienced","3 - 7 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - MySQL - AngularComputer Science - CSS - .Net - HTML - HTML5 - Information Technology (IT)","https://wuzzuf.net/jobs/p/kJc2206IzlUV-Senior-Full-Stack-Developer-3S-Software-Cairo-Egypt"
"Senior Flutter Developer (iOS)","jmskef","Banha, Qalubia, Egypt","23 days ago","Full Time","Hybrid","Experienced","3 - 4 Yrs of Exp","Creative/Design/Art - IT/Software Development - Engineering - Telecom/Technology - APIs - iOS - Information Technology (IT) - flutter - DevelopmentComputer Science - Android","https://wuzzuf.net/jobs/p/8ZvULuQjHcGW-Senior-Flutter-Developer-iOS-jmskef-Qalubia-Egypt"
"Pricing Analyst 3","GovCIO","Kuwait City, Kuwait","33 minutes ago","Full Time","","Experienced","Computer Science","Accounting/Finance - IT/Software Development - Analyst/Research - AccountingComputer Science - Finance - Analysis - Economics - Information Technology (IT) - Linux","https://wuzzuf.net/jobs/p/g/cdNXK5IZVFJU-Pricing-Analyst-3-GovCIO-Kuwait-City-Kuwait"
"Senior Finance Analyst","Johnson & Johnson","Riyadh, Saudi Arabia","18 hours ago","Full Time","","Experienced","Computer Science","IT/Software Development - Analyst/Research - Engineering - Telecom/Technology - Information Technology (IT)Computer Science - Analysis - Business Analysis - Finance - Accounting - Financial Analysis","https://wuzzuf.net/jobs/p/g/DMBKcocvcWIK-Senior-Finance-Analyst-Johnson-Johnson-Riyadh-Saudi-Arabia"
"Entry-Level Remote Administrative Clerk","APcursos","Dubai, United Arab Emirates","18 hours ago","Full Time","","Not specified","computer science","Administration - IT/Software Development - Engineering - Telecom/Technology - administration - information technology (it) - microsoft officecomputer sciencedata entry - communication skills - maintenance","https://wuzzuf.net/jobs/p/g/9kKcjl92HnF9-Entry-Level-Remote-Administrative-Clerk-APcursos-Dubai-United-Arab-Emirates"
"Senior Analyst - Capacity Planning Airfield","Dubai Airports","Dubai, United Arab Emirates","2 days ago","Full Time","","Not specified","Computer Science","IT/Software Development - Analyst/Research - Engineering - Telecom/Technology - Information Technology (IT)Computer Science - Analysis - Business Analysis - Finance - Accounting - Financial Analysis","https://wuzzuf.net/jobs/p/g/qRE1EOLYQHv0-Senior-Analyst---Capacity-Planning-Airfield-Dubai-Airports-Dubai-United-Arab-Emirates"
"Research Specialist l (Pluripotent Stem Cell)","Sidra Medical and Research Center","Doha, Qatar","3 days ago","Full Time","","Not specified","Science","R&D/Science - Analyst/Research - Pharmaceutical - Research - Market Research - Analysis - R&amp;D - Microsoft Office - Computer SkillsScience","https://wuzzuf.net/jobs/p/g/s1YyUrAS85fj-Research-Specialist-l-Pluripotent-Stem-Cell-Sidra-Medical-and-Research-Center-Doha-Qatar"
"Senior Software Quality Assurance Specialist (On-site)","Confidential","Nasr City, Cairo, Egypt","24 days ago","Full Time","On-site","Experienced","5+ Yrs of Exp","IT/Software Development - Quality - Engineering - Telecom/Technology - Quality Control - Software Testing - Quality Assurance - Software Development - QC - QA - Quality","https://wuzzuf.net/jobs/p/T72DT4bESnhs-Senior-Software-Quality-Assurance-Specialist-On-site-Cairo-Egypt"
"Implementation Analyst - Large Scale transformation","Boston Consulting Group (BCG)","Riyadh, Saudi Arabia","2 days ago","Full Time","","Experienced","computer science","IT/Software Development - Analyst/Research - Engineering - Telecom/Technology - information technology (it)computer science - software development - sql - analysis - agile - project management","https://wuzzuf.net/jobs/p/g/clLx1bPUCOOj-Implementation-Analyst---Large-Scale-transformation-Boston-Consulting-Group-BCG-Riyadh-Saudi-Arabia"
"IT Help Desk Specialist - Cleopatra October Hospital","Cleopatra Hospitals Group","6th of October, Giza, Egypt","27 days ago","Full Time","On-site","Entry Level","1 - 2 Yrs of Exp","Medical/HealthcareComputer Science - Help desk - English - Medical - healthcare","https://wuzzuf.net/jobs/p/3UmQHjUW1tE2-IT-Help-Desk-Specialist---Cleopatra-October-Hospital-Cleopatra-Hospitals-Group-Giza-Egypt"
"Technology Delivery Lead Senior Manager","Accenture","Riyadh, Saudi Arabia","4 days ago","Full Time","","Not specified","Computer Science","Customer Service/Support - IT/Software Development - Engineering - Telecom/TechnologyComputer Science - Information Technology (IT) - Customer Care - Customer Service - Customer Support - Engineering - Management","https://wuzzuf.net/jobs/p/g/vZ3iQOMeOiC7-Technology-Delivery-Lead-Senior-Manager-Accenture-Riyadh-Saudi-Arabia"
"Technical Support Engineer","Al Rabat","Nasr City, Cairo, Egypt","25 days ago","Full Time","On-site","Experienced","2 - 4 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - CCNA - Technical Support - Help Desk - Network - Information Technology (IT)Computer Science - Troubleshooting","https://wuzzuf.net/jobs/p/L9BXlnWqeppJ-Technical-Support-Engineer-Al-Rabat-Cairo-Egypt"
"IT Administrator","DABBAGH Group","Cairo, Egypt","24 days ago","Full Time","On-site","Experienced","10+ Yrs of Exp","Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/Technology - CCNA - CiscoComputer Science - Engineering - Information Technology (IT) - Networking - Project Management","https://wuzzuf.net/jobs/p/lPAgyG7Mni9t-IT-Administrator-DABBAGH-Group-Cairo-Egypt"
"Broadcast Engineer, KSA","ESL FACEIT GROUP","Riyadh, Saudi Arabia","5 days ago","Full Time","","Not specified","Computer Science","Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/TechnologyComputer Science - Information Technology (IT) - Computer Engineering - Computer Hardware - ConfigurationData EngineeringData Integration","https://wuzzuf.net/jobs/p/g/k36THpohYOls-Broadcast-Engineer-KSA-ESL-FACEIT-GROUP-Riyadh-Saudi-Arabia"
"Principal Maintenance Excellence Specialist (Preferred Mechanical, Electrical or Instrument)","Velosi Integrity & Safety Pakistan (Pvt.) Ltd.","Dubai, United Arab Emirates","7 days ago","Full Time","","Manager","computer science","Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/Technology - information technology (it)computer science - maintenance - installation - management - business - inventory management","https://wuzzuf.net/jobs/p/g/s3FXtKL3LlXq-Principal-Maintenance-Excellence-Specialist-Preferred-Mechanical-Electrical-or-Instrument-Velosi-Integrity-Safety-Pakistan-Pvt-Ltd-Dubai-United-Arab-Emirates"
"Oracle Supply Chain Specialist","Akhnaton for Trading & Distributing","Cairo, Egypt","25 days ago","Full Time","On-site","Experienced","1 - 3 Yrs of Exp","IT/Software Development - OracleComputer Science - Supply","https://wuzzuf.net/jobs/p/JkDFKqWcnci9-Oracle-Supply-Chain-Specialist-Akhnaton-for-Trading-Distributing-Cairo-Egypt"
"Lead Structures Computational Designer","Zutari","Dubai, United Arab Emirates","8 days ago","Full Time","","Experienced","Computer Science","Creative/Design/Art - IT/Software Development - Engineering - Telecom/Technology - AWS - Algorithms - Angular - Cloud - Computer EngineeringComputer ScienceData Structure","https://wuzzuf.net/jobs/p/g/vjyKre54Ulxh-Lead-Structures-Computational-Designer-Zutari-Dubai-United-Arab-Emirates"
"Quality Analyst","PRIME IMMIGRATION LTD","Dubai, United Arab Emirates","8 days ago","Full Time","","Experienced","Science","Quality - Analyst/Research - Pharmaceutical - Quality - Quality Control - Quality Assurance - Pharmacy - AnalysisScienceComputer Science","https://wuzzuf.net/jobs/p/g/41FepwTGK0t1-Quality-Analyst-PRIME-IMMIGRATION-LTD-Dubai-United-Arab-Emirates"
"PowerBI MSBI Developer","Virtusa","Doha, Qatar","8 days ago","Full Time","","Experienced","computer science","IT/Software Development - Analyst/Research - Engineering - Telecom/Technologycomputer science - information technology (it) - engineering - sql - powerbi - analysisdata","https://wuzzuf.net/jobs/p/g/3Il2BKxTZmtE-PowerBI-MSBI-Developer-Virtusa-Doha-Qatar"
"Security Supervisor","National Water Company","Riyadh, Saudi Arabia","8 days ago","Full Time","","Not specified","Computer Science","IT/Software Development - Legal - Engineering - Telecom/Technology - Security - Information Technology (IT)Computer Science - Engineering - CISSP - CISM - Computer Engineering","https://wuzzuf.net/jobs/p/g/xSM5M61LXwWD-Security-Supervisor-National-Water-Company-Riyadh-Saudi-Arabia"
"Frontend Developer","Equivator","Riyadh, Saudi Arabia","25 days ago","Full Time","Remote","Experienced","5 - 10 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - Angular - React - JavaScript - Flutter - Typescript - HTML - Information Technology (IT) - APIs","https://wuzzuf.net/jobs/p/Littbkbn9kzy-Frontend-Developer-Equivator-Riyadh-Saudi-Arabia"
"Backend Developer","Equivator","Riyadh, Saudi Arabia","25 days ago","Full Time","Remote","Experienced","5 - 10 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - backend - JavaScript - Node.js - Azure - TypescriptComputer Science - AWS - Docker","https://wuzzuf.net/jobs/p/z4XKwTgoS31A-Backend-Developer-Equivator-Riyadh-Saudi-Arabia"
"Application Support Engineer","LinkIT","New Damietta, Damietta, Egypt","27 days ago","Full Time","On-site","Experienced","1 - 3 Yrs of Exp","Customer Service/Support - Installation/Maintenance/Repair - IT/Software Development - ERP - Software House - Software Pre-Sales - English - SoftwareComputer Science - Information Technology (IT)","https://wuzzuf.net/jobs/p/MsHb1RJecVtS-Application-Support-Engineer-LinkIT-Damietta-Egypt"
"IT Supervisor","MATGR For Engineering And Trading","New Cairo, Cairo, Egypt","27 days ago","Full Time","On-site","Manager","5 - 8 Yrs of Exp","Installation/Maintenance/Repair - IT/Software Development - Engineering - Telecom/TechnologyComputer Science - Computer Engineering - computer - Information Technology (IT) - IT - Communication skills - Administration","https://wuzzuf.net/jobs/p/gteMHBfCmF3s-IT-Supervisor-MATGR-For-Engineering-And-Trading-Cairo-Egypt"
"Communication Engineering","Talaat Moustafa Group","Madinaty, Cairo, Egypt","26 days ago","Full Time","On-site","Entry Level","1 - 3 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - Information Technology (IT)Computer Science - Real Estate - Microsoft Office - Communication Engineering - Computer Engineering - Real-Estate - Troubleshooting","https://wuzzuf.net/jobs/p/Md11tzhzg5KI-Communication-Engineering-Talaat-Moustafa-Group-Cairo-Egypt"
"Senior System Administrator","Nile University","Sheikh Zayed, Giza, Egypt","26 days ago","Full Time","On-site","Experienced","5 - 10 Yrs of Exp","IT/Software Development - Engineering - Telecom/TechnologyComputer Science - Information Technology (IT) - Engineering - System Administration - Network Administration - CCNA - English - Microsoft Office","https://wuzzuf.net/jobs/p/8P1IgZ8cwByU-Senior-System-Administrator-Nile-University-Giza-Egypt"
"Senior Product Designer","WUZZUF","Maadi, Cairo, Egypt","25 days ago","Full Time","Hybrid","Experienced","5+ Yrs of Exp","Creative/Design/Art - IT/Software Development - Engineering - Telecom/Technology - Adobe XD - AgileComputer Science - Design - Development - Information Technology (IT) - IT","https://wuzzuf.net/jobs/p/LI7Tw2Uclxda-Senior-Product-Designer-WUZZUF-Cairo-Egypt"
