job_title,company_name,company_location,time,job_type,work_location,level,experince_years,job_skills,url
"Senior Inventory Management Officer ( Fashion Retail )","Al-Nasser","6th of October, Giza, Egypt","1 month ago","Full Time","On-site","Experienced","4 - 5 Yrs of Exp","Operations/Management - inventory - Management - Retail","https://wuzzuf.net/jobs/p/9KzH86vPBjC9-Senior-Inventory-Management-Officer-Fashion-Retail-Al-Nasser-Giza-Egypt"
"Content & Digital Media Specialist","Egyptian Industrial Investment Group","Cairo, Egypt","6 days ago","Full Time","On-site","Experienced","2 - 10 Yrs of Exp","Writing/Editorial - Marketing/PR/Advertising - Communication skills - digital marketing - E-Marketing - Editing - Google Analytics - Marketing - SEO - Social Media","https://wuzzuf.net/jobs/p/kwT6UVUFKBqd-Content-Digital-Media-Specialist-Egyptian-Industrial-Investment-Group-Cairo-Egypt"
"Senior Odoo Developer","softprimes","Cairo, Egypt","27 days ago","Full Time","Remote","Experienced","1 - 5 Yrs of Exp","IT/Software Development - HTML5 - CSS3 - Software Development - Full Stack","https://wuzzuf.net/jobs/p/4KPTnHVHUk2g-Senior-Odoo-Developer-softprimes-Cairo-Egypt"
"Pharmacist (Female only)","Pharmascienta - Nefertari Body Care","Zamalek, Cairo, Egypt","2 months ago","Full Time","On-site","Experienced","3 - 3 Yrs of Exp","Marketing/PR/Advertising - Marketing - E-Marketing - Online Marketing - Communication - Social Media - Content Creation - Content Writing - digital media - media","https://wuzzuf.net/jobs/p/ykaMTfPRm33m-Pharmacist-Female-only-Pharmascienta---Nefertari-Body-Care-Cairo-Egypt"
"Mechanical Design Engineer","Arcelormittal Egypt","Badr City, Cairo, Egypt","2 months ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","Creative/Design/Art - Engineering - Mechanical/Electrical - Design - Engineering - Mechanical Design - Mechanical Engineering - Production Engineering - Production - Mechanical - SolidWorks","https://wuzzuf.net/jobs/p/AgkLBNWF0ZnP-Mechanical-Design-Engineer-Arcelormittal-Egypt-Cairo-Egypt"
"Oracle Apps Team Leader","Mashura Consultants","Katameya, Cairo, Egypt","21 days ago","Full Time","Hybrid","Manager","7 - 14 Yrs of Exp","IT/Software Development - Oracle E-Business Suite - Oracle Fusion","https://wuzzuf.net/jobs/p/aCjXCrA1ADQa-Oracle-Apps-Team-Leader-Mashura-Consultants-Cairo-Egypt"
"Cloud Architect Supervisor","e-finance","Smart Village, Giza, Egypt","17 days ago","Full Time","On-site","Experienced","5 - 7 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - solutions architect - ansible - terraform - Automation - DevOps - vmware","https://wuzzuf.net/jobs/p/phEPWbZf9KqN-Cloud-Architect-Supervisor-e-finance-Giza-Egypt"
"Professional Cloud and IT Sales Manager","Telecom Systems Provider, LLC","Riyadh, Saudi Arabia","27 days ago","Full Time","On-site","Experienced","7+ Yrs of Exp","IT/Software Development - Sales/Retail - Engineering - Telecom/Technology - Cloud - IT sales","https://wuzzuf.net/jobs/p/vG7YgzpuiLzg-Professional-Cloud-and-IT-Sales-Manager-Telecom-Systems-Provider-LLC-Riyadh-Saudi-Arabia"
"Odoo Developer","Centro","New Nozha, Cairo, Egypt","1 month ago","Full Time","Hybrid","Experienced","2 - 5 Yrs of Exp","Business Development - JavaScript - Programming - Python - CSS - HTML - ERP - Odoo - SQL","https://wuzzuf.net/jobs/p/pwRI4TkTijG2-Odoo-Developer-Centro-Cairo-Egypt"
"Senior Solutions Architect - Fintech Development","Ithmaar Integrated Solutions","Sheikh Zayed, Giza, Egypt","27 days ago","Full Time","Hybrid","Experienced","5 - 7 Yrs of Exp","IT/Software Development - Oracle ADF - Software Development - Angular - Software Engineering","https://wuzzuf.net/jobs/p/3BDboysWvE2c-Senior-Solutions-Architect---Fintech-Development-Ithmaar-Integrated-Solutions-Giza-Egypt"
"Product Owner","Equivator","Riyadh, Saudi Arabia","16 days ago","Full Time","Remote","Experienced","5 - 10 Yrs of Exp","IT/Software Development - SQL - Agile - JIRA - Scrum - Flutter - Node.js","https://wuzzuf.net/jobs/p/LQaH6C4mTTsb-Product-Owner-Equivator-Riyadh-Saudi-Arabia"
"Genesys Cloud System Engineer","Eqlaa","Sheraton, Cairo, Egypt","25 days ago","Full Time","On-site","Experienced","4 - 6 Yrs of Exp","IT/Software Development - Cloud - Engineering - Information technology - IVR - computer","https://wuzzuf.net/jobs/p/9YwZyqYX1ODK-Genesys-Cloud-System-Engineer-Eqlaa-Cairo-Egypt"
"Senior Systems Engineer","FinBi Finance & Banking Consultants International","Dokki, Giza, Egypt","1 month ago","Full Time","On-site","Experienced","5 - 7 Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - MCSA - Information Technology (IT) - computer - Engineering - Software Development","https://wuzzuf.net/jobs/p/qgnsrPurAHnm-Senior-Systems-Engineer-FinBi-Finance-Banking-Consultants-International-Giza-Egypt"
"Mechanical Engineer / Electrical Engineer","Post Distribution Company","Cairo, Egypt","1 month ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","Engineering - Construction/Civil/Architecture - Engineering - Telecom/Technology - Engineering - Mechanical/Electrical - Electrical Engineering - Management - Manufacturing - Engineering - Mechanical Engineering - technical - Mechanical","https://wuzzuf.net/jobs/p/dwDK6wSmUbKP-Mechanical-Engineer-Electrical-Engineer-Post-Distribution-Company-Cairo-Egypt"
"Technical Office Manager","Confidential","Helwan, Cairo, Egypt","1 month ago","Full Time","On-site","Manager","10 - 15 Yrs of Exp","Engineering - Mechanical/Electrical - Mechanical Engineering - AutoCAD - Design - Engineering","https://wuzzuf.net/jobs/p/yUt7mY0QH4w7-Technical-Office-Manager-Cairo-Egypt"
"R&D Formulation Supervisor","Al Andalous Pharmaceutical Industries","6th of October, Giza, Egypt","17 days ago","Full Time","On-site","Experienced","6 - 8 Yrs of Exp","R&D/Science - Manufacturing/Production - Pharmaceutical - Formulation - Pharmaceutical - Development - Pharmacy - Research - R&D - Manufacturing","https://wuzzuf.net/jobs/p/FqgkJMsuoAot-RD-Formulation-Supervisor-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt"
"Senior PHP - Laravel Developer","Enterprizone Co.","Jeddah, Saudi Arabia","2 months ago","Full Time","On-site","Experienced","4 - 15 Yrs of Exp","IT/Software Development - Laravel - PHP - MySQL - REST - Software Development - API - Testing - Github - AWS Cloud","https://wuzzuf.net/jobs/p/DsIi2FQ8BdqO-Senior-PHP---Laravel-Developer-Enterprizone-Co-Jeddah-Saudi-Arabia"
"Quality Assurance Section Head","Confidential","6th of October, Giza, Egypt","19 days ago","Full Time","On-site","Experienced","12 - 15 Yrs of Exp","R&D/Science - Manufacturing/Production - Quality - ISO - ISO 14001 - ISO 9001 - Quality Management - Quality Assurance - ISO 45001","https://wuzzuf.net/jobs/p/tUSrwJ7fbmV0-Quality-Assurance-Section-Head-Giza-Egypt"
"PLSQL Oracle Developer","DIRAC SYSTEMS","Heliopolis, Cairo, Egypt","1 month ago","Full Time","On-site","Entry Level","1 - 2 Yrs of Exp","IT/Software Development - Oracle developer - SQL - Jasper - PostgreSQL - MySQL - HTML - XHTML - javaScript - CSS","https://wuzzuf.net/jobs/p/2RJj3Rte6FDt-PLSQL-Oracle-Developer-DIRAC-SYSTEMS-Cairo-Egypt"
"Full Stack Developer","Makouk","Cairo, Egypt","26 days ago","Full Time","Remote","Experienced","6+ Yrs of Exp","IT/Software Development - Engineering - Telecom/Technology - Angular - Full Stack - MySQL - SQL - Software Development - Software Engineering - HTML5","https://wuzzuf.net/jobs/p/srj9cJkLsidl-Full-Stack-Developer-Makouk-Cairo-Egypt"
"Digital Marketing Specialist","Horizon Chemical for Special Chemicals","Alexandria, Egypt","2 months ago","Full Time","On-site","Experienced","4 - 5 Yrs of Exp","Marketing/PR/Advertising - Sales/Retail - Content - Design - Digital - Digital Marketing - E-Marketing - Editing - Graphic Design - Management","https://wuzzuf.net/jobs/p/zWx6WMgsyXc4-Digital-Marketing-Specialist-Horizon-Chemical-for-Special-Chemicals-Alexandria-Egypt"
"Scrum Master","QARA","New Cairo, Cairo, Egypt","4 days ago","Full Time","On-site","Experienced","3 - 5 Yrs of Exp","IT/Software Development - Agile - Certified ScrumMaster (CSM) - Professional Scrum Master - Agile Software Development - Agile Methodologies","https://wuzzuf.net/jobs/p/0whseX5BCHOe-Scrum-Master-QARA-Cairo-Egypt"
"construction mechanical engineer","MAC EGYPT REAL ESTATE CO.","10th of Ramadan City, Sharqia, Egypt","1 month ago","Full Time","On-site","Experienced","6 - 8 Yrs of Exp","Engineering - Construction/Civil/Architecture - Installation/Maintenance/Repair - Engineering - Mechanical/Electrical - Construction - Engineering - Manufacturing - Mechanical - technical - Mechanical Engineering","https://wuzzuf.net/jobs/p/E4hpINEpTcMN-construction-mechanical-engineer-MAC-EGYPT-REAL-ESTATE-CO-Sharqia-Egypt"
